name;ring;quadrant;isNew;Description
ChatGPT;Adopt;LLMs;TRUE;<p>Generative AI (GenAI) and large language models (LLMs) can help developers both write and understand code. For example, <a href='https://www.openai.com/research/chatgpt'>ChatGPT</a> is useful for conversational AI applications.</p>
DALL-E;Trial;AI Tools;TRUE;<p>DALL-E is an AI model developed by OpenAI to generate images from textual descriptions. More details can be found <a href='https://www.openai.com/research/dall-e'>here</a>.</p>
BERT;Adopt;LLMs;TRUE;<p>BERT (Bidirectional Encoder Representations from Transformers) is a transformer-based model for natural language understanding developed by Google. For more info, click <a href='https://github.com/google-research/bert'>here</a>.</p>
OpenAI Codex;Trial;AI Tools;TRUE;<p>OpenAI Codex is a descendant of GPT-3, specialized for programming tasks. Learn more <a href='https://www.openai.com/research/codex'>here</a>.</p>
GPT-3;Assess;LLMs;TRUE;<p>GPT-3, developed by OpenAI, is one of the most powerful language models available. Details can be found <a href='https://www.openai.com/research/gpt-3'>here</a>.</p>
Jupyter Notebooks;Adopt;AI Tools;TRUE;<p>Jupyter Notebooks are an open-source web application that allows the creation and sharing of documents with live code, equations, visualizations, and narrative text. More info <a href='https://jupyter.org/'>here</a>.</p>
TensorFlow;Adopt;AI Platforms;TRUE;<p>TensorFlow is an end-to-end open-source platform for machine learning. For more details, visit <a href='https://www.tensorflow.org/'>TensorFlow</a>.</p>
PyTorch;Adopt;AI Platforms;TRUE;<p>PyTorch is an open-source machine learning library developed by Facebook's AI Research lab. More information is available <a href='https://pytorch.org/'>here</a>.</p>
Scikit-learn;Adopt;AI Platforms;TRUE;<p>Scikit-learn is a free software machine learning library for the Python programming language. Learn more <a href='https://scikit-learn.org/'>here</a>.</p>
Hugging Face Transformers;Assess;AI Tools;TRUE;<p>Hugging Face Transformers provides state-of-the-art general-purpose architectures for natural language understanding and generation. More details <a href='https://huggingface.co/transformers/'>here</a>.</p>
Stable Diffusion;Adopt;AI Tools;TRUE;<p>Stable Diffusion ist ein generatives KI-Modell, das hochqualitative Bilder aus Textbeschreibungen erstellt. Mehr Infos <a href='https://stability.ai/'>hier</a>.</p>
MidJourney;Trial;AI Tools;TRUE;<p>MidJourney ist eine AI-basierte Plattform zur Erstellung von Kunstwerken aus Textbeschreibungen. Details <a href='https://www.midjourney.com/'>hier</a>.</p>
BLOOM;Assess;LLMs;TRUE;<p>BLOOM ist ein offenes LLM-Modell von Hugging Face, das speziell fÅr mehrere Sprachen und Aufgaben trainiert wurde. Mehr dazu <a href='https://huggingface.co/bigscience/bloom'>hier</a>.</p>
Anthropic Claude;Assess;LLMs;TRUE;<p>Anthropic Claude ist ein LLM, das sich auf ethische und sichere KI-Entwicklung konzentriert. Weitere Informationen <a href='https://www.anthropic.com/'>hier</a>.</p>
Google Bard;Trial;LLMs;TRUE;<p>Google Bard ist ein experimenteller KI-Dienst von Google, der natÅrliche Konversationen ermîglicht. Details <a href='https://bard.google.com/'>hier</a>.</p>
Microsoft Azure AI;Adopt;AI Platforms;TRUE;<p>Microsoft Azure AI bietet eine umfangreiche Suite von KI-Tools und -Dienstleistungen fÅr Unternehmen. Mehr Infos <a href='https://azure.microsoft.com/en-us/services/machine-learning/'>hier</a>.</p>
AWS SageMaker;Adopt;AI Platforms;TRUE;<p>AWS SageMaker ist eine vollstÑndig verwaltete Dienstleistung von Amazon, die Entwickler und Datenwissenschaftler dabei unterstÅtzt, schnell und einfach Machine Learning Modelle zu erstellen. Weitere Infos <a href='https://aws.amazon.com/sagemaker/'>hier</a>.</p>
IBM Watson;Adopt;AI Platforms;TRUE;<p>IBM Watson ist eine Suite von KI-Diensten fÅr Unternehmen, die verschiedene AI-Anwendungen ermîglicht. Mehr dazu <a href='https://www.ibm.com/watson'>hier</a>.</p>
Meta AI Research;Assess;AI Tools;TRUE;<p>Meta AI Research ist die Forschungsabteilung von Meta (ehemals Facebook), die sich auf fortschrittliche KI-Forschung konzentriert. Details <a href='https://ai.facebook.com/'>hier</a>.</p>
Cohere;Trial;LLMs;TRUE;<p>Cohere bietet Sprachmodelle als API-Dienstleistungen, die Entwicklern Zugang zu fortschrittlichen NLP-Modellen ermîglichen. Weitere Informationen <a href='https://cohere.ai/'>hier</a>.</p>
DeepMind AlphaFold;Adopt;AI Techniques;TRUE;<p>DeepMind AlphaFold ist ein KI-Modell zur Vorhersage der Proteinstruktur, was bedeutende Fortschritte in der Biologie ermîglicht. Mehr Infos <a href='https://deepmind.com/research/case-studies/alphafold'>hier</a>.</p>
Intel OpenVINO;Adopt;AI Tools;TRUE;<p>Intel OpenVINO ist ein Toolkit zur Optimierung und Bereitstellung von AI-Modellen auf Intel-Hardware. Details <a href='https://software.intel.com/content/www/us/en/develop/tools/openvino-toolkit.html'>hier</a>.</p>
Nvidia Clara;Assess;AI Platforms;TRUE;<p>Nvidia Clara bietet eine Plattform fÅr AI und High-Performance-Computing im Gesundheitswesen. Mehr Infos <a href='https://developer.nvidia.com/clara'>hier</a>.</p>
Seldon Core;Trial;AI Tools;TRUE;<p>Seldon Core ist eine Open-Source-Plattform zur Bereitstellung und Skalierung von Machine-Learning-Modellen in Kubernetes. Details <a href='https://www.seldon.io/'>hier</a>.</p>
H2O.ai;Adopt;AI Platforms;TRUE;<p>H2O.ai bietet eine Open-Source-Software fÅr Machine Learning und Predictive Analytics. Mehr Informationen <a href='https://www.h2o.ai/'>hier</a>.</p>
DataRobot;Adopt;AI Platforms;TRUE;<p>DataRobot ist eine AI-Plattform, die automatisiertes maschinelles Lernen fÅr Unternehmen bereitstellt. Weitere Infos <a href='https://www.datarobot.com/'>hier</a>.</p>
Alteryx;Adopt;AI Platforms;TRUE;<p>Alteryx bietet Self-Service-Datenanalyse und Machine-Learning-Plattformen fÅr Unternehmen. Details <a href='https://www.alteryx.com/'>hier</a>.</p>
RapidMiner;Assess;AI Platforms;TRUE;<p>RapidMiner ist eine Datenwissenschaftssoftware fÅr prÑdiktive Analysen und Machine Learning. Mehr Infos <a href='https://rapidminer.com/'>hier</a>.</p>
KNIME;Assess;AI Platforms;TRUE;<p>KNIME bietet eine Open-Source-Software zur Integration, Analyse und Exploration von Daten. Weitere Informationen <a href='https://www.knime.com/'>hier</a>.</p>
Dataiku;Trial;AI Platforms;TRUE;<p>Dataiku ist eine Datenanalyseplattform, die Machine-Learning-Tools fÅr Unternehmen bereitstellt. Details <a href='https://www.dataiku.com/'>hier</a>.</p>
Google Vertex AI;Trial;AI Tools;TRUE;<p>Google Vertex AI bietet eine verwaltete Machine-Learning-Plattform fÅr die einfache Implementierung und Verwaltung von ML-Modellen. Mehr Infos <a href='https://cloud.google.com/vertex-ai'>hier</a>.</p>
Amazon Comprehend;Assess;AI Tools;TRUE;<p>Amazon Comprehend ist ein NLP-Service von AWS, der Textdokumente analysiert und Einblicke liefert. Weitere Informationen <a href='https://aws.amazon.com/comprehend/'>hier</a>.</p>
Salesforce Einstein;Adopt;AI Tools;TRUE;<p>Salesforce Einstein bietet AI-Funktionen, die in die Salesforce-Plattform integriert sind, um personalisierte Kundenerfahrungen zu ermîglichen. Details <a href='https://www.salesforce.com/products/einstein/overview/'>hier</a>.</p>
Oracle AI;Adopt;AI Tools;TRUE;<p>Oracle AI bietet eine Suite von AI-Diensten fÅr Unternehmen, die verschiedene GeschÑftsprozesse unterstÅtzen. Mehr dazu <a href='https://www.oracle.com/artificial-intelligence/'>hier</a>.</p>
